工作標題,工作網址,公司名稱,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
程式開發工程師(無經驗可),https://www.104.com.tw/job/2gt66?jobsource=hotjob_chr,玉山銀行_玉山商業銀行股份有限公司,1.軟體開發：負責各項資訊專案或需求功能開發，包括系統設計、程式開發等。。;2.系統測試：負責系統後端API程式開發， 進行系統單元測試、功能測試、程式碼檢核及品質分析。。;3.技術研究：專案概念性驗證或技術研發。。;4.網站應用程式開發。。;5.行動裝置App設計、開發與維護。,軟體設計工程師、Internet程式設計師、電腦系統分析師,"月薪40,000元以上",全職,台北市中山區/新北市三重區,不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,不限,1~20人,上班族、應屆畢業生、原住民歡迎身心障礙人士，需附身心障礙證明,不拘,大學以上,資訊管理相關、數學及電算機科學學科類、資訊工程相關,英文--聽/中等、說/中等、讀/中等、寫/中等,ASP、ASP.NET、C#、C++.Net、Java、VisualBasic.net、VisualC#、VisualStudio.net,不拘,1.熱愛程式開發與團隊溝通合作2.擁有新技術研發的熱情3.熟悉Java平台/.NET平台/iOS&AndroidApp系統開發為佳【歡迎無經驗or工作經驗3年以下熱愛程式開發者加入】
網頁自動化測試工程師 (保證年薪 700K - 1.4M) Web QA Automation Engineer,https://www.104.com.tw/job/6qe0y?jobsource=hotjob_chr,天瀚國際科技有限公司,"我們是成立近一年的15人團隊， 平均年齡不到30歲。 。;。;在這裡，我們強調平等與溝通，沒有官僚及辦公室政治。 。;。;我們希望成員都能真心喜歡上這份工作和團隊，好的辦公氣氛是我們最大目標， 。;因此我們每月有Happy Hours玩樂時間、團隊成員不停互噴垃圾話、定期聚餐/喝酒(不強迫參加)、彈性上下班、不穿襯衫等等，希望每個人都能在這裡找到歸屬感。 。;。;如果你希望加入一個年輕、熱情、樂於溝通的團隊，非常歡迎你加入我們！ 。;。;想知道更多辦公室的大小事，歡迎追蹤我們的粉絲團：）。;https://www.facebook.com/universetech.taipei/。;。;﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊ 。;工作介紹。;   1. 依照規格書及技術文件規劃測試計畫 (Test plan)、撰寫測試案例。;   2. 執行功能測試、使用者測試、整合測試及壓力測試。;   3. 整理及回報產品測試結果，追蹤問題並確認修復狀況及協同工程師除錯。;   4. 分析測試資料、釐清問題、提出改善建議。;   5. 建置與維護 end-to-end 自動化測試系統。;。;專業需求。;   1. 使用版控工具經驗 (Git)。;   2. 熟悉 QA 流程、具 Test Case 設計撰寫與執行能力。;   3. 熟悉 web end-to-end (Selenium, Cypress, Testcafe, Nightwatch.js ...) 等測試 framework。;   4. 熟悉 (Html, Css Selector)。;。;加分條件。;   1. 有網頁前後端實際開發經驗 。;。;﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊﹊。;上班時間。;每週五天，每日八小時，早上 9:00 ~ 下午 6:00，中午休息 1 小時半。。;可彈性上下班(最晚10：30上班)，早點來可以早點走，時間自主管理。。;。;* 年薪保14個月。;   ",測試人員、軟體設計工程師、軟韌體測試工程師,"月薪50,000~100,000元",全職,台北市中山區中山北路一段145號10樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1人,上班族、應屆畢業生、原住民、二度就業,1年以上,大學以上,不拘,不拘,不拘,不拘,未填寫
A0000 菁英人才招募(大數據研發類),https://www.104.com.tw/job/442l2?jobsource=hotjob_chr,富邦媒體科技股份有限公司(富邦momo),1.	開發以及維運公司大資料數據系統。。;2.	開發以及應用公司大資料數據，整合相關服務使用，例如智能客服，搜尋引擎，型錄推薦等。。;3.	機器學習演算法系統開發及應用。。;4.	開發以及維運公司搜尋/NLP系統。,軟體設計工程師、軟體相關專案管理師、演算法開發工程師,待遇面議（經常性薪資達4萬元或以上）,全職,台北市內湖區洲子街96號4樓(內湖科技園區),不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,2人,上班族,2年以上,碩士以上,數學及電算機科學學科類、資訊管理相關、統計學相關,英文--聽/中等、說/中等、讀/中等、寫/中等,Java、Scala,MachineLearning,1.需具學士以上畢業之學歷。2.工作經驗兩年以上。3.熟悉Java、Scala、Spark、GCP、分散式資料架構開發。*如經面試錄取後，報到時須繳交「體格檢查表(一般)」，請於報到前自行至醫療機構辦理體檢*
程式設計師,https://www.104.com.tw/job/5brs5?jobsource=hotjob_chr,慧邦科技股份有限公司,【工作內容】。;開發棋牌類web/手機遊戲。;－　Web活動開發及官網維護(JQuery、Vue)。;－　棋牌類遊戲APP、PC等 各平台後端開發(PHP、Perl)。;－　資料庫操作及數據處理(MySQL)。;－　版本控制(Git)。;－　Linux 命令列指令碼操作。;。;【職務需求】。;－　至少熟悉一種程式語言　如：PHP或JavaScript (會Perl更佳）。;－　喜愛寫程式、認真負責、重視團隊合作精神。;。;★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！https://www.facebook.com/GamesofaCareers/,電玩程式設計師、Internet程式設計師、軟體設計工程師,待遇面議（經常性薪資達4萬元或以上）,全職,台北市中正區羅斯福路2段100號10樓,不需負擔管理責任,無需出差外派,日班，09:30~18:00,週休二日,不限,4~5人,上班族、應屆畢業生、原住民,不拘,專科、大學、碩士,電機電子工程相關、資訊工程相關、數學及電算機科學學科類,不拘,PHP、MySQL、JavaScript、jQuery,軟體程式設計,※加分條件(可特別備註)：-有使用JavaScript開發框架經驗-熟悉RWDFrameworks和MobileWeb，處理過不同瀏覽器的相容經驗-熟悉資料庫優化相關知識-熟悉Git使用-熟悉Linux/FreeBSD作業系統及VIM-熟悉SocketProgramming-有作品/比賽經驗者佳
PHP 全端(資深)工程師,https://www.104.com.tw/job/6junq?jobsource=hotjob_chr,富欣發網路科技有限公司,【工作內容】。;1. 網站前端架設_ Html5、ReactJS、Vue、Angular 。;2. PHP 程式開發_後端系統建置、串接、維謢網站機制架構 。;3. 日常網站營運維護及架構重構。;4. 規劃實現Unit Test，自動化測試 。;5. 系統分析及系統資料結構開發 。;6. 協助編寫和技術開發相關文件。;7. 其他主管交辦事項。;。;【技術需求】 。;1. 熟悉任一框架ReactJS、Vue、Angular。;2. CSS、Javascript、jQuery含套版。;3. PHP開發經驗3年以上 。;4. MySQL資料庫開發經驗3年以上 。;5. 擁有API開發經驗。;6. 熟悉基本Linux指令、Nginx、MVC 框架。;7. 熟悉 Git 版本控制制。;。;【加分項目】。;1.熟緩存技術redis。;2.瞭解MVC架構，PHP framework,Internet程式設計師、軟體設計工程師,待遇面議（經常性薪資達4萬元或以上）,全職,台北市松山區,不需負擔管理責任,無需出差外派,日班，10:00-19:00,週休二日,兩週內,2~4人,上班族,3年以上,專科以上,不拘,不拘,Linux、PHP、MySQL、HTML、JavaScript、jQuery,不拘,具溝通技巧，與跨部協調能力
"【數據生態營運】資料科學工程師 (數數發中心,DDT)",https://www.104.com.tw/job/6v7pz?jobsource=2018indexpoc,國泰世華商業銀行股份有限公司_人力資源部,【職務說明】。;1.數據介接、清洗、處理與數據模型的程式開發。;2.網路爬蟲、數據工程 API 程式撰寫。;3.與數據分析師合作，進行機器學習、深度學習與統計分析模型的維運化程式開發。;4.ETL Pipline 的工具開發與維護。;5.協助新系統上線。;6.數據工程的自動化、監控、與維運模組開發,軟體設計工程師、其他資訊專業人員、應用科學研究員,待遇面議（經常性薪資達4萬元或以上）,全職,台北市信義區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,2~8人,上班族,不拘,大學以上,不拘,英文--聽/中等、說/中等、讀/中等、寫/中等,ETL、hadoop、Hive,不拘,"【應徵條件】1.樂於分享,與其他團隊成員一同合作2.喜歡和熟悉程式開發流程及技巧3.具有Linux系統操作經驗4.具有Git使用經驗【加分條件】1.曾使用過Hadoop/Spark/Hive等大數據平台開發經驗2.熟悉大數據儲存及運算平台及ClouderaCDH各套件服務的建置與管理經驗3.曾使用過任一種streamingframework,例如:Sparkstreaming,曾開發過API4.具ETLpipeline的工具開發/維護經驗如:Airflow/Oozie/NIFI等"
【2020校徵】資料科學工程師,https://www.104.com.tw/job/6uloq?jobsource=2018indexpoc,國泰世華商業銀行股份有限公司_人力資源部,【工作說明】。;1. 數據介接、資料治理、數據市集與數據模型應用之程式開發維運。。;2. 數據應用分析、數據工程 API 程式開發維運。。;3. 數據應用之報表平台程式開發維運。。;【培訓歷程】。;1. 新人培訓：瞭解公司組織文化、各項業務專案實作。。;2. 輔導員機制：提供日常生活及業務上的各項幫助。。;3. 在職訓練：完善的內部在職教育訓練及外部進修課程，另有證照考照補助。,統計精算人員,"月薪30,000~50,000元",全職,台北市信義區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1人,上班族、應屆畢業生,不拘,大學以上,統計學相關、資訊管理相關、資訊工程相關,英文--聽/精通、說/精通、讀/精通、寫/精通,Linux、Shell、ASP.NET、Java、Cognos、Informatica、Oracle、Tableau,不拘,【應徵條件】1.國內外大學畢業，資管/統計/資工相關科系【其他條件說明】1.具備程式撰寫能力(Java、Angular、ASP.NETCore尤佳)。2.熟悉Linux、Windows等作業環境。(了解Linux指令與shellscript尤佳)。
"【數據生態營運】資料科學工程師_ 數據管理 (數數發中心, DDT)",https://www.104.com.tw/job/6rkkm?jobsource=2018indexpoc,國泰世華商業銀行股份有限公司_人力資源部,1.數據介接、資料治理、數據市集與數據模型應用之程式開發維運。。;2.數據應用分析、數據工程 API 程式開發維運。。;3.數據應用之相關平台開發維運。 。;4.數據應用之相關專案開發維運。。;5.數據應用之報表平台程式開發維運。。;6.資料倉儲ETL程式開發及維運。,其他資訊專業人員、資料庫管理人員、MIS程式設計師,"月薪30,000~80,000元",全職,台北市信義區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1~7人,上班族,不拘,大學以上,統計學相關、資訊管理相關、資訊工程相關,英文--聽/中等、說/中等、讀/中等、寫/中等,Linux、ASP.NET、Java、Cognos、Informatica、Oracle、Tableau,不拘,【擅長工具】1.具程式撰寫能力(Java、Angular、ASP.NETCore尤佳)。2.熟悉Linux、Windows等作業環境。(了解Linux指令與shellscript尤佳)。3.具備系統、網路、資料庫、企業資料倉儲、ETL工具(Informatica/SSIS/Trinity尤佳)與應用程式服務操作及管理能力。4.熟悉報表、圖表之展示及分析工具(Cognos/Tableau尤佳)。5.熟悉資料庫語言(SQLServer/Teradata/Oracle)。【其他條件】1.對資料、數據具高度敏感性與熱情。2.具備金融同業經驗及程式設計證照者尤佳。
"【數據生態營運】資料營運工程師 (數數發中心,DDT)",https://www.104.com.tw/job/6v7r3?jobsource=2018indexpoc,國泰世華商業銀行股份有限公司_人力資源部,【職務說明】。;1.資料倉儲(Teradata)的維運及程式開發。。;2.ETL平台(Trinity)規劃與設計、程式撰寫、單元測試工作。。;3.ETL問題追蹤管理及 ETL 資料流的工具開發與維護。。;4.系統文件撰寫。。;5.結構化及非結構化資料處理與整合。。;6.用資料導向概念提升各類業務，並導入系統以加強各項資料應用。 。;7.建立數據工程的自動化、監控、與維運模組開發。,營運管理師／系統整合／ERP專案師、資料庫管理人員、系統維護／操作人員,待遇面議（經常性薪資達4萬元或以上）,全職,台北市信義區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,2~8人,上班族,不拘,大學以上,不拘,英文--聽/中等、說/中等、讀/中等、寫/精通,Linux、ASP.NET、Java、Oracle、Teradata,不拘,【應徵條件】1.熟悉資料倉儲平台(Teradata尤佳)的建置與管理經驗。2.熟悉Linux、Windows等作業環境。(了解Linux指令與shellscript尤佳)。3.具程式撰寫能力(Java、Angular、ASP.NETCore尤佳)。4.具備系統、網路、資料庫、企業資料倉儲、ETL工具(Trinity尤佳)與應用程式服務操作及管理能力。5.對資料、數據具高度敏感性與熱情。6.熟悉資料庫語言(SQLServer/Teradata/Oracle)
【台北內湖】網路文字資料探勘分析(Text Mining/Data Crawler)演算法工程師,https://www.104.com.tw/job/5em7m?jobsource=2018indexpoc,兆洋資訊股份有限公司,"【Text Ming/Data Crawler演算法工程師】：。;1    負責大數據分析產品、雲端服務平台之演算法開發。;2    產品演算法邏輯設計、模型建立， Web Data Mining演算法系統化開發。;3.   開發網路資料探勘演算法。;4.   Optimize the crawler system to improve performance and stability 。;5.   Clean up the crawled data 。;6.   Query / statistics / analysis data 。;。;[About you] 。;1. Familiar with Web Data Crawler and Data Analytics。;2. Develop an identity verification login crawler 。;3. Familiar with Thread, Process, Data algorithm 。;4. Expertise in MySQL and database performance tunning 。;5. Expertise in Linux/Unix environments 。;6. Familiar with Docker 。;。;[Plus] 。;1. Analytical packages (Pandas、Scikit-learn、NLTK、Matplotlib) is a plus 。;2. Experienced in AWS, Azure, GCP is a plus 。;3. Data mining and machine learning algorithm experience is a big plus 。;4. Experienced in Hadoop / Spark is big plus 。;5. Experienced in Django is plus。;。;我們在尋找這樣的你：。;- 良好的邏輯思維能力，良好的數據解讀能力，能夠從海量數據中發現有價值的規律 。;- 碩士或博士以上學歷，資訊、電機、數學、統計等相關科系畢業者。;- 至少熟悉一種程式語言，例如：Python。;- 具實際程式開發撰寫與建模經驗尤佳。;。;",軟體設計工程師、演算法開發工程師、電腦系統分析師,待遇面議（經常性薪資達4萬元或以上）,全職,台北市內湖區堤頂大道二段181號2樓(東京企業總部),不需負擔管理責任,無需出差外派,日班,週休二日,不限,3~5人,上班族、應屆畢業生,不拘,碩士以上,資訊工程相關、數理統計相關、資訊管理相關,英文--聽/中等、說/中等、讀/中等、寫/中等,不拘,不拘,
資料庫程式工程師,https://www.104.com.tw/job/1yf7o?jobsource=2018indexpoc,商智資訊股份有限公司,資料庫程式工程師。;熟悉 SQL Server/Oracle/DB2 任一種資料庫操作,軟體設計工程師、資料庫管理人員、MIS程式設計師,"月薪28,000~75,000元",全職,台北市大安區復興南路2段363號3樓,不需負擔管理責任,需出差，一年累積時間未定,日班，9-18,依公司規定,不限,2~3人,上班族、應屆畢業生、外籍人士,1年以上,大學以上,不拘,英文--聽/中等、說/中等、讀/中等、寫/中等,DB2、MSSQL、Oracle,不拘,"1.熟資料庫SQL語法,指令及運用2.有StoreProcedurecoding一年(含)以上經驗3.熟悉SQLServer/Oracle/DB2任一種資料庫操作"
 [台北] AI Deep Learning / 人工智慧深度學習工程師 / 資料科學家,https://www.104.com.tw/job/59ye0?jobsource=2018indexpoc,安富科技股份有限公司,1.	Maintain the core computer vision services.。;2.	Build and Design a Machine Learning/ Deep Learning pipelines.  。;3.	Write clean and testable codes with design documents and unit tests. 。;4.	Implementing algorithms and ideas from public papers and technical reports.。;5.	Work with cross-functional teams.,演算法開發工程師、軟體設計工程師、韌體設計工程師,待遇面議（經常性薪資達4萬元或以上）,全職,台北市內湖區瑞光路258巷31號5樓(內湖科技園區),不需負擔管理責任,需出差，一年累積時間約三個月以下,日班,週休二日,不限,1人,上班族,2年以上,大學以上,資訊工程相關,不拘,不拘,不拘,"[Musttohave]1.FamiliarinC/C++/Python/Javadevelopment.2.Experienceofembeddedsystemsoftwaredevelopment.3.Abletoshareandpresentknowledgetoteammembers.4.BegoodatCross-functionalCollaboration.[Plus]Researchexperienceinoneoffollowingareas:1.MachineLearning/DeepLearning.2.NumericalOptimizationMethod.3.Statistics.4.ComputerVisioninImageClassification,ObjectDetection,PatternRecognition,etc."
【總公司】大數據應用課－資料工程師,https://www.104.com.tw/job/6ummh?jobsource=2018indexpoc,摩斯漢堡_安心食品服務股份有限公司,1. 協助資料倉儲管理;2. 協助ETL操作及資料清洗工程;3. 協助模型自動化佈署,資料庫管理人員、其他資訊專業人員、軟體設計工程師,"月薪35,000~38,000元",全職,台北市中山區松江路156-1號東元大樓10樓,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1人,上班族,不拘,大學以上,資訊工程相關、數理統計相關、資訊管理相關,不拘,不拘,不拘,1.熟悉SQL、Python或R語言，並熟悉ETL流程或是ETL工具2.熟悉資料倉儲架構3.具團隊合作精神、良好邏輯思考能力
資料工程師 Data Scientist/Engineer ,https://www.104.com.tw/job/6sb12?jobsource=2018indexpoc,圓祐資訊股份有限公司,1. 協助建立非結構化資料庫及其資料分析演算法。。;2. 負責資料蒐集及處理各項數據、資料建模、ETL流程設計及演算法開發，並經梳理後產出使用。。;3. 運用平行處理架構設計高效處理與運用巨量資料。。;,軟體設計工程師、資料庫管理人員、演算法開發工程師,待遇面議（經常性薪資達4萬元或以上）,全職,台北市松山區民權東路三段144號7樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,上班族、夜間就讀中、外籍人士、原住民、二度就業,不拘,專科以上,不拘,不拘,不拘,不拘,1.熟悉pyspark及mapreduce開發。2.具備金融產業系統開發經驗者尤佳。
資料庫工程師【SE五部】,https://www.104.com.tw/job/3zsrn?jobsource=2018indexpoc,聚碩科技股份有限公司,"1. Oracle Installation & Configuration。;2. Oracle Backup & Recovery。;3. Oracle Routine Maintenance Tasks。;4. Oracle Data Migration。;5. Basic SQL, PL/SQL",資料庫管理人員、系統維護／操作人員,"月薪32,000~45,000元",全職,台北市內湖區內湖路一段516號10樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,依公司規定,不限,2~3人,上班族,1年以上,專科、大學、碩士,不拘,英文--聽/中等、說/中等、讀/中等、寫/中等,不拘,不拘,1.具Oracle資料庫基本能力者佳2.具RedHatLinux作業系統基本能力者佳3.具自學能力及上進心者佳4.若有OracleOCA或OCP證照者尤佳
軟體專案工程師(資料庫專長),https://www.104.com.tw/job/6w641?jobsource=2018indexpoc,悠遊支付樂金融科技股份有限公司,。;	負責協助公司參與之專案，並緊密配合專案的執行，具備良好溝通、執行能力，依據交付項目完成專案。。;	熟悉資料庫設計及管理。。;	規格與技術文件之撰寫。。;	需國內出差。。;。;工作經驗:。;	軟體工程專案一年~二年經驗。。;	資訊相關科系背景或相關工作經驗。。;	參與過政府資訊系統標案/專案。。;,軟體設計工程師、電腦系統分析師,"月薪40,000元以上",全職,台北市內湖區洲子街79號7樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1人,上班族,1年以上,專科、大學、碩士,資訊工程相關,英文--聽/精通、說/精通、讀/精通、寫/精通,MSSQL、MySQL,資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,需熟悉SQLSERVER。具備資料庫相關架構規劃與建置及技術支援等相關工作經驗尤佳。具備良好外文讀寫能力。需配合國內出差。具備跨系統跨平台整合實務經驗或中大型系統規劃經驗者佳。有專案管理或資訊相關證照為佳。有軟體開發經驗為佳。具備跨系統跨平台整合實務經驗或中大型系統規劃經驗者佳。參與過政府資訊系統標案/專案為佳。喜於挑戰新事物，提出可行之創新解決方案為佳。
系統工程師(資料備份管理),https://www.104.com.tw/job/2guqt?jobsource=2018indexpoc,中菲電腦股份有限公司,本公司為上櫃績優系統整合公司，IBM在台灣最大經銷商。。;本工作主要使用IBM之Power System AIX與AS/400主機，主要內容為安裝規劃、系統維護、客戶服務。。;本工作主要內容為備份系統與Storage安裝規劃、系統維護、客戶服務。。;歡迎具團隊精神、能接受挑戰有志於IT產業穩定發展的同志加入。。;。;需求:。;資訊相關科系畢業。;SAN Storage/Unix/資料庫系統管理相關工作經驗與認證。;具備備份系統使用與建置經驗(Veritas NBU/IBM TSM等)優先。;。;工作內容:。;系統維護與建置。;儲存環境管理建置。;備份系統建置。;客戶問題處理,產品售後技術服務,"月薪30,000~50,000元",全職,台北市內湖區行愛路151號,不需負擔管理責任,需出差，一年累積時間未定,日班，9:00~18:00,週休二日,兩週內,1~2人,上班族,2年以上,大學以上,資訊工程相關,英文--聽/略懂、說/略懂、讀/中等、寫/略懂,Linux、UNIX,不拘,具備Unix、Linux系統經驗／資料庫管理經驗／有相關認證者請提供
